Code	Municipio	Depto	Censo electoral	Participación/Total votos	Abstención	Ganador	Votos válidos (departamental)	100% Colombia	AICO	ASI	Alianza Verde	Blanco por la Paz	Cambio Radical	Centro Democrático	MIRA	Movimiento de Integración Regional	Partido Conservador	Partido de la U	Partido Liberal	Polo Democrático Alternativo	Por un Huila Mejor	Opción Ciudadana	Unión Patriótica	Voto en blanco (departamental)	Ganador	Votos válidos (Indígenas)	AICO	AIMAC	Embera Chami - Dache Agora Drua	MAIS	Movimiento CS	MUIPC	OPIC	Renovación Étnica "Raíces"	Vía Nueva	Voto en blanco (Indígenas)	Ganador	Votos válidos (Afros)	Afrocolombianos en Acción	Afroétnicos	AFRODMAM	AFROMINGA	AFROVIDES	ASOCONEGUA	ASODEPORTES	ASOPRA	C.C. San Antonio y EL Castillo	CORMANDELA	CORPOSINPAC	E.A.T. Botica Comunitaria 	ESAFRO	F. Desarrollo Cuenca del Pacífico	FORFUTURO	FUNCULCOSTA	FUNDAIN	FUNDECH	FUNDIAFRO	FUNECO	FUNPROESAT	Los Palenkes Bellavista	MACOAS	MIO	Poder Ciudadano	SI SE PUEDE	OECA	Únete	Vides y sus Niches	Voto en blanco (Afros)	Votos válidos (todas las circunscripciones)	Votos inválidos	Votos Nulos	Tarjetones No Marcados	%Participación	%Abstención	%Votos válidos (departamental)	%100% Colombia	%AICO	%ASI	%Alianza Verde	%Blanco por la Paz	%Cambio Radical	%Centro Democrático	%MIRA	%Movimiento de Integración Regional	%Partido Conservador	%Partido de la U	%Partido Liberal	%Polo Democrático Alternativo	%Por un Huila Mejor	%Opción Ciudadana	%Unión Patriótica	%Voto en blanco (departamental)	%Votos válidos (Indígenas)	%AICO	%AIMAC	%Embera Chami - Dache Agora Drua	%MAIS	%Movimiento CS	%MUIPC	%OPIC	%Renovación Étnica "Raíces"	%Vía Nueva	%Voto en blanco (Indígenas)	%Votos válidos (Afros)	%Afrocolombianos en Acción	%Afroétnicos	%AFRODMAM	%AFROMINGA	%AFROVIDES	%ASOCONEGUA	%ASODEPORTES	%ASOPRA	%C.C. San Antonio y EL Castillo	%CORMANDELA	%CORPOSINPAC	%E.A.T. Botica Comunitaria 	%ESAFRO	%F. Desarrollo Cuenca del Pacífico	%FORFUTURO	%FUNCULCOSTA	%FUNDAIN	%FUNDECH	%FUNDIAFRO	%FUNECO	%FUNPROESAT	%Los Palenkes Bellavista	%MACOAS	%MIO	%Poder Ciudadano	%SI SE PUEDE	%OECA	%Únete	%Vides y sus Niches	%Voto en blanco (Afros)	%Votos válidos (todas las circunscripciones)	%Votos inválidos	%Votos Nulos	%Tarjetones No Marcados
5001	Medellín	Antioquia	1407617	582626	824991	Centro Democrático	469263			8806	15992		23835	178507	12718		52434	36426	62159	28646		2188	4004	43548	Voto en blanco	3717	239	53	89	261	95	136	67	184	36	2557	Voto en blanco	7766	34	35	23	60	111	88	121	140	179	113	79	43	169	28	65	26	44	39	28	531	28	59	44	448	122	40	101	83	40	4845	480746	101880	86986	14894	41.39	58.61	80.54	0	0	1.88	3.41	0	5.08	38.04	2.71	0	11.17	7.76	13.25	6.1	0	0.47	0.85	9.28	0.64	6.43	1.43	2.39	7.02	2.56	3.66	1.8	4.95	0.97	68.79	1.33	0.44	0.45	0.3	0.77	1.43	1.13	1.56	1.8	2.3	1.46	1.02	0.55	2.18	0.36	0.84	0.33	0.57	0.5	0.36	6.84	0.36	0.76	0.57	5.77	1.57	0.52	1.3	1.07	0.52	62.39	82.51	17.49	14.93	2.56
5002	Abejorral	Antioquia	14933	5433	9500	Centro Democrático	4433			47	24		113	1500	31		1091	397	1004	88		12	10	116	Voto en blanco	16	1		1	4	1	1	1			7	Voto en blanco	36			1			1		1	1			1		1						1		1	1	4	1	1		1		20	4485	948	624	324	36.38	63.62	81.59	0	0	1.06	0.54	0	2.55	33.84	0.7	0	24.61	8.96	22.65	1.99	0	0.27	0.23	2.62	0.29	6.25	0	6.25	25	6.25	6.25	6.25	0	0	43.75	0.66	0	0	2.78	0	0	2.78	0	2.78	2.78	0	0	2.78	0	2.78	0	0	0	0	0	2.78	0	2.78	2.78	11.11	2.78	2.78	0	2.78	0	55.56	82.55	17.45	11.49	5.96
5004	Abriaquí	Antioquia	1909	799	1110	Partido Conservador	697			2	11		30	45	6		412	40	128	3		5	4	11	Voto en blanco	1										1	Empate	3								1																			1			1	701	98	71	27	41.85	58.15	87.23	0	0	0.29	1.58	0	4.3	6.46	0.86	0	59.11	5.74	18.36	0.43	0	0.72	0.57	1.58	0.13	0	0	0	0	0	0	0	0	0	100	0.38	0	0	0	0	0	0	0	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33	0	0	33.33	87.73	12.27	8.89	3.38
5021	Alejandría	Antioquia	4350	2069	2281	Partido Conservador	1758			10	34		31	138	17		811	444	184	7		10	4	68	Voto en blanco	3								1		2	Voto en blanco	10													1	1			1													7	1771	298	175	123	47.56	52.44	84.97	0	0	0.57	1.93	0	1.76	7.85	0.97	0	46.13	25.26	10.47	0.4	0	0.57	0.23	3.87	0.14	0	0	0	0	0	0	0	33.33	0	66.67	0.48	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	70	85.6	14.4	8.46	5.94
5030	Amagá	Antioquia	20732	7483	13249	Partido de la U	6106			45	134		252	1061	91		564	2752	600	242		24	29	312	Voto en blanco	54	5	5		1	4	1	2	2		34	Voto en blanco	131	1	1		2	1	37	8	3			2	3	4	1	1			1	1	2				14	1	1	1	2		44	6291	1192	951	241	36.09	63.91	81.6	0	0	0.74	2.19	0	4.13	17.38	1.49	0	9.24	45.07	9.83	3.96	0	0.39	0.47	5.11	0.72	9.26	9.26	0	1.85	7.41	1.85	3.7	3.7	0	62.96	1.75	0.76	0.76	0	1.53	0.76	28.24	6.11	2.29	0	0	1.53	2.29	3.05	0.76	0.76	0	0	0.76	0.76	1.53	0	0	0	10.69	0.76	0.76	0.76	1.53	0	33.59	84.07	15.93	12.71	3.22
5031	Amalfi	Antioquia	15434	3415	12019	Centro Democrático	2746			65	41		108	629	135		443	486	543	103		9	13	171	Voto en blanco	21				3	2			3		13	Voto en blanco	27					2		1	1					3											2		1				17	2794	621	403	218	22.13	77.87	80.41	0	0	2.37	1.49	0	3.93	22.91	4.92	0	16.13	17.7	19.77	3.75	0	0.33	0.47	6.23	0.61	0	0	0	14.29	9.52	0	0	14.29	0	61.9	0.79	0	0	0	0	7.41	0	3.7	3.7	0	0	0	0	11.11	0	0	0	0	0	0	0	0	0	0	7.41	0	3.7	0	0	0	62.96	81.82	18.18	11.8	6.38
5034	Andes	Antioquia	32870	14802	18068	Partido de la U	12423			89	57		362	1058	67		3774	6041	485	195		20	24	251	Voto en blanco	21	1		1		3	1				15	Voto en blanco	45	1		1			2		1	1	3			2			1	2		1					2						28	12489	2313	1993	320	45.03	54.97	83.93	0	0	0.72	0.46	0	2.91	8.52	0.54	0	30.38	48.63	3.9	1.57	0	0.16	0.19	2.02	0.14	4.76	0	4.76	0	14.29	4.76	0	0	0	71.43	0.3	2.22	0	2.22	0	0	4.44	0	2.22	2.22	6.67	0	0	4.44	0	0	2.22	4.44	0	2.22	0	0	0	0	4.44	0	0	0	0	0	62.22	84.37	15.63	13.46	2.16
5036	Angelópolis	Antioquia	5461	2317	3144	Partido Conservador	1998			4	61		92	279	13		531	385	506	56		3	5	63	Voto en blanco	12		1		1		1				9	Voto en blanco	8		1				1																		1			1			4	2018	299	242	57	42.43	57.57	86.23	0	0	0.2	3.05	0	4.6	13.96	0.65	0	26.58	19.27	25.33	2.8	0	0.15	0.25	3.15	0.52	0	8.33	0	8.33	0	8.33	0	0	0	75	0.35	0	12.5	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	12.5	0	0	50	87.1	12.9	10.44	2.46
5038	Angostura	Antioquia	8565	3288	5277	Partido Conservador	2300			14	60		40	153	26		1514	135	181	46		12	18	101	Voto en blanco	17		1			2	1		1		12	Voto en blanco	29					1	1		2						2		1							1				1			20	2346	942	542	400	38.39	61.61	69.95	0	0	0.61	2.61	0	1.74	6.65	1.13	0	65.83	5.87	7.87	2	0	0.52	0.78	4.39	0.52	0	5.88	0	0	11.76	5.88	0	5.88	0	70.59	0.88	0	0	0	0	3.45	3.45	0	6.9	0	0	0	0	0	6.9	0	3.45	0	0	0	0	0	0	3.45	0	0	0	3.45	0	0	68.97	71.35	28.65	16.48	12.17
5040	Anorí	Antioquia	10171	2049	8122	Partido Liberal	1737			11	32		39	87	10		300	103	1054	21		7	8	65	Voto en blanco	3	1									2	Voto en blanco	6						1			2																					3	1746	303	224	79	20.15	79.85	84.77	0	0	0.63	1.84	0	2.25	5.01	0.58	0	17.27	5.93	60.68	1.21	0	0.4	0.46	3.74	0.15	33.33	0	0	0	0	0	0	0	0	66.67	0.29	0	0	0	0	0	16.67	0	0	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	85.21	14.79	10.93	3.86
