Code	Municipio	Depto	Censo electoral 	Participación/Total votación 	Abstención	Ganador	Votos Válidos (departamental)	Alianza Verde	Cambio Radical	Centro Democrático	Partido Conservador	FARC	Partido Liberal	Opción Ciudadana	MIRA	Polo Democrático Alternativo	Partido de la U	Somos	Unión Patriótica	MAIS	AICO	ASI	GSC Colombia Justa Libres	GSC Movimiento de Integración Regional	Todos Somos Colombia	Coalición Verde-Polo	Coalición Verde-Polo-UP	Coalición Verde-Polo-ASI	Coalición ASI-Verde-UP	Coalición Lista de la Decencia (ASI-UP-MAIS)	Coalición Lista de la Decencia (UP-MAIS)	Voto en Blanco 	Ganador 	Votos Válidos (Indigena)	ANICOL	Autoridad Tradicional Casiyouren	Fundación Taita Zipa	MAIS	AICO	UAIZSACOR	Voto en Blanco (Indígena)	Ganador	Votos Válidos (Afrodescendientes)	C. C. De La Comun. Negra De Tierra Baja Mi Territorio Ancestral	C.C. Ancestral De Comunidades Negras Playa Renaciente	C.C. De Comun. Negras Palenque Vda. Las Trescientas Y Mun. Galapa	C.C. De La Comunidad Negra De La Calle Larga Rio Dagua	C.C. De La Comunidad Negra De La Plata Bahía Málaga	C.C. De Los Corregimientos De San Antonio Y El Castillo	C.C. General Del Río Baudó Y Sus Afluentes "Acaba"	Consejo Comunitario Bocas Del Atrato Y Leoncito	Consejo Comunitario De Alejandro Duran Diaz	Consejo Comunitario De Comunidades Negras Obatala	Consejo Comunitario De Comunidades Negras Santo Domingo	Consejo Comunitario De La Comunidad Negra De Limones	Consejo Comunitario De Las Baras	Consejo Comunitario Del Rio Yurumangui	Consejo Comunitario Imbilpi Del Carmen	Consejo Comunitario La Mamuncia	Consejo Comunitario Los Andes	Consejo Comunitario Ma Kankamana De San Basilio De Palenque	Consejo Comunitario Mayor De Certegui	Consejo Comunitario Renacer Negro	Consejo Comunitario Tablon Salado	Consejo Comunitario Veredas Unidas Un Bien Común	Corporación Poder Ciudadano	Cuenca Del Rio Iscuande	Fund. Afrocolombiana Liberal De Desarrollo Social (Afrocodes)	Kusuto Magende Cokumalu De Luruaco	Todos Somos Colombia	Org. Social De Comunidades Negras "Nelson Mandela"	Voto en Blanco 	Votos Válidos (todas las circunscripciones)	Votos Inválidos	Tarjetones No Marcados	Nulos 	%Participación electoral 	%Abstención	%Alianza Verde	%Cambio Radical	%Centro Democrático	%Partido Conservador	%FARC	%Partido Liberal	%Opción Ciudadana	%MIRA	%Polo Democrático Alternativo	%Partido de la U	%Somos	%Unión Patriótica	%MAIS	%AICO	%ASI	%Todos Somos Colombia	%GSC Colombia Justa Libres	%GSC Movimiento de Integración Regional	%Coalición Verde-Polo	%Coalición Verde-Polo-UP	%Coalición Verde-Polo-ASI	%Coalición ASI-Verde-UP	%Coalición Lista de la Decencia (ASI-UP-MAIS)	%Coalición Lista de la Decencia (UP-MAIS)	%Voto en Blanco 	%Votos Válidos (Indigena)	%ANICOL	%Autoridad Tradicional Casiyouren	%Fundación Taita Zipa	%MAIS	%AICO	%UAIZSACOR	%Voto en Blanco (Indígena)	%Votos Válidos (Afrodescendientes)	%C. C. De La Comun. Negra De Tierra Baja Mi Territorio Ancestral	%C.C. Ancestral De Comunidades Negras Playa Renaciente	%C.C. De Comun. Negras Palenque Vda. Las Trescientas Y Mun. Galapa	%C.C. De La Comunidad Negra De La Calle Larga Rio Dagua	%C.C. De La Comunidad Negra De La Plata Bahía Málaga	%C.C. De Los Corregimientos De San Antonio Y El Castillo	%C.C. General Del Río Baudó Y Sus Afluentes "Acaba"	%Consejo Comunitario Bocas Del Atrato Y Leoncito	%Consejo Comunitario De Alejandro Duran Diaz	%Consejo Comunitario De Comunidades Negras Obatala	%Consejo Comunitario De Comunidades Negras Santo Domingo	%Consejo Comunitario De La Comunidad Negra De Limones	%Consejo Comunitario De Las Baras	%Consejo Comunitario Del Rio Yurumangui	%Consejo Comunitario Imbilpi Del Carmen	%Consejo Comunitario La Mamuncia	%Consejo Comunitario Los Andes	%Consejo Comunitario Ma Kankamana De San Basilio De Palenque	%Consejo Comunitario Mayor De Certegui	%Consejo Comunitario Renacer Negro	%Consejo Comunitario Tablon Salado	%Consejo Comunitario Veredas Unidas Un Bien Común	%Corporación Poder Ciudadano	%Cuenca Del Rio Iscuande	%Fund. Afrocolombiana Liberal De Desarrollo Social (Afrocodes)	%Kusuto Magende Cokumalu De Luruaco	%Todos Somos Colombia	%Org. Social De Comunidades Negras "Nelson Mandela"	%Voto en Blanco 	%Votos Válidos (todas las circunscripciones)	%Votos Inválidos	%Tarjetones No Marcados	%Nulos 
5001	Medellín	Antioquia	1558619	766401	792218	Centro Democrático	643398	60398	39167	263527	63943	2795	61537	8073	17880	37910	27779	10732	2016			6218										41423	Voto en Blanco 	11671	238	58	93	1976	539	137	8630	Voto en Blanco 	14873	33	1023	49	94	219	151	76	195	79	42	43	100	60	511	92	728	121	60	410	106	66	74	198	25	86	93	557	43	9539	669942	96459	19254	77205	49.2%	50.8%	9.4%	6.1%	41.0%	9.9%	0.4%	9.6%	1.3%	2.8%	5.9%	4.3%	1.7%	0.3%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.4%	1.5%	2.0%	0.5%	0.8%	16.9%	4.6%	1.2%	73.9%	1.9%	0.2%	6.9%	0.3%	0.6%	1.5%	1.0%	0.5%	1.3%	0.5%	0.3%	0.3%	0.7%	0.4%	3.4%	0.6%	4.9%	0.8%	0.4%	2.8%	0.7%	0.4%	0.5%	1.3%	0.2%	0.6%	0.6%	3.7%	0.3%	64.1%	87.4%	12.6%	2.5%	10.1%
5002	Abejorral	Antioquia	15345	4407	10938	Centro Democrático	3733	183	129	1000	964	5	874	61	76	75	183	32	15			40										96	Voto en Blanco 	44	1	1	0	1	0	0	41	Voto en Blanco 	53	0	0	0	1	0	0	1	1	1	0	0	0	2	0	1	4	0	1	5	0	0	1	0	1	0	0	5	0	29	3830	577	230	347	28.7%	71.3%	4.9%	3.5%	26.8%	25.8%	0.1%	23.4%	1.6%	2.0%	2.0%	4.9%	0.9%	0.4%	0.0%	0.0%	1.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.6%	1.0%	2.3%	2.3%	0.0%	2.3%	0.0%	0.0%	93.2%	1.2%	0.0%	0.0%	0.0%	1.9%	0.0%	0.0%	1.9%	1.9%	1.9%	0.0%	0.0%	0.0%	3.8%	0.0%	1.9%	7.5%	0.0%	1.9%	9.4%	0.0%	0.0%	1.9%	0.0%	1.9%	0.0%	0.0%	9.4%	0.0%	54.7%	86.9%	13.1%	5.2%	7.9%
5004	Abriaquí	Antioquia	1994	1036	958	Partido Conservador	961	5	22	136	687		42	1	4	16	33	3				2										10	-	0	0	0	0	0	0	0	0	Consejo Comunitario Mayor De Certegui	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	962	74	22	52	52.0%	48.0%	0.5%	2.3%	14.2%	71.5%	0.0%	4.4%	0.1%	0.4%	1.7%	3.4%	0.3%	0.0%	0.0%	0.0%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	100.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	92.9%	7.1%	2.1%	5.0%
5021	Alejandría	Antioquia	4669	2166	2503	Partido Conservador	1883	9	55	163	1486	4	69	5	2	12	23	10	3			1										41	Voto en Blanco 	17	0	0	0	0	0	0	17	Voto en Blanco 	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1903	263	145	118	46.4%	53.6%	0.5%	2.9%	8.7%	78.9%	0.2%	3.7%	0.3%	0.1%	0.6%	1.2%	0.5%	0.2%	0.0%	0.0%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.2%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	100.0%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	100.0%	87.9%	12.1%	6.7%	5.4%
5030	Amagá	Antioquia	22270	7980	14290	Centro Democrático	6613	182	376	2172	1039	13	1436	59	104	259	556	28	16			57										316	Voto en Blanco 	101	2	0	1	9	2	1	86	Voto en Blanco 	117	0	3	0	0	2	1	0	1	2	0	2	0	1	1	1	6	0	0	3	0	0	1	0	0	1	1	2	0	89	6831	1149	273	876	35.8%	64.2%	2.8%	5.7%	32.8%	15.7%	0.2%	21.7%	0.9%	1.6%	3.9%	8.4%	0.4%	0.2%	0.0%	0.0%	0.9%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.8%	1.3%	2.0%	0.0%	1.0%	8.9%	2.0%	1.0%	85.1%	1.5%	0.0%	2.6%	0.0%	0.0%	1.7%	0.9%	0.0%	0.9%	1.7%	0.0%	1.7%	0.0%	0.9%	0.9%	0.9%	5.1%	0.0%	0.0%	2.6%	0.0%	0.0%	0.9%	0.0%	0.0%	0.9%	0.9%	1.7%	0.0%	76.1%	85.6%	14.4%	3.4%	11.0%
5031	Amalfi	Antioquia	17296	4948	12348	Cambio Radical	4007	145	1455	524	308	12	524	20	186	153	418	73	6			31										152	Voto en Blanco 	51	0	1	0	2	0	0	48	Voto en Blanco 	84	0	6	2	1	2	1	2	2	3	0	3	0	1	0	0	4	1	0	3	1	0	0	0	0	0	0	1	1	50	4142	806	272	534	28.6%	71.4%	3.6%	36.3%	13.1%	7.7%	0.3%	13.1%	0.5%	4.6%	3.8%	10.4%	1.8%	0.1%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.8%	1.0%	0.0%	2.0%	0.0%	3.9%	0.0%	0.0%	94.1%	1.7%	0.0%	7.1%	2.4%	1.2%	2.4%	1.2%	2.4%	2.4%	3.6%	0.0%	3.6%	0.0%	1.2%	0.0%	0.0%	4.8%	1.2%	0.0%	3.6%	1.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.2%	1.2%	59.5%	83.7%	16.3%	5.5%	10.8%
5034	Andes	Antioquia	35381	15261	20120	Partido Conservador	13226	162	399	2038	4557	24	1052	61	43	405	3954	45	9			108										369	Voto en Blanco 	186	2	1	0	87	1	1	94	Voto en Blanco 	124	0	11	0	1	0	0	0	1	2	0	0	1	0	3	1	7	0	0	3	1	0	4	0	0	0	1	4	1	83	13536	1725	558	1167	43.1%	56.9%	1.2%	3.0%	15.4%	34.5%	0.2%	8.0%	0.5%	0.3%	3.1%	29.9%	0.3%	0.1%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.8%	1.2%	1.1%	0.5%	0.0%	46.8%	0.5%	0.5%	50.5%	0.8%	0.0%	8.9%	0.0%	0.8%	0.0%	0.0%	0.0%	0.8%	1.6%	0.0%	0.0%	0.8%	0.0%	2.4%	0.8%	5.6%	0.0%	0.0%	2.4%	0.8%	0.0%	3.2%	0.0%	0.0%	0.0%	0.8%	3.2%	0.8%	66.9%	88.7%	11.3%	3.7%	7.6%
5036	Angelópolis	Antioquia	5865	2719	3146	Partido Conservador	2415	25	321	215	965	2	748	10	18	28	18	3	2			9										51	Voto en Blanco 	18	1	0	0	1	0	0	16	Voto en Blanco 	21	0	1	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	2454	265	73	192	46.4%	53.6%	1.0%	13.3%	8.9%	40.0%	0.1%	31.0%	0.4%	0.7%	1.2%	0.7%	0.1%	0.1%	0.0%	0.0%	0.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.1%	0.7%	5.6%	0.0%	0.0%	5.6%	0.0%	0.0%	88.9%	0.8%	0.0%	4.8%	0.0%	0.0%	0.0%	4.8%	9.5%	0.0%	4.8%	0.0%	0.0%	0.0%	4.8%	0.0%	0.0%	0.0%	0.0%	0.0%	4.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	66.7%	90.3%	9.7%	2.7%	7.1%
5038	Angostura	Antioquia	9299	2673	6626	Partido Conservador	2120	55	76	525	981	15	313	6	11	25	27	6	3			19										58	Voto en Blanco 	24	1	0	0	1	0	2	20	Voto en Blanco 	36	0	2	1	0	1	1	0	0	0	1	1	0	0	0	2	10	0	1	1	0	1	2	0	0	0	1	2	1	8	2180	493	170	323	28.7%	71.3%	2.6%	3.6%	24.8%	46.3%	0.7%	14.8%	0.3%	0.5%	1.2%	1.3%	0.3%	0.1%	0.0%	0.0%	0.9%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.7%	0.9%	4.2%	0.0%	0.0%	4.2%	0.0%	8.3%	83.3%	1.3%	0.0%	5.6%	2.8%	0.0%	2.8%	2.8%	0.0%	0.0%	0.0%	2.8%	2.8%	0.0%	0.0%	0.0%	5.6%	27.8%	0.0%	2.8%	2.8%	0.0%	2.8%	5.6%	0.0%	0.0%	0.0%	2.8%	5.6%	2.8%	22.2%	81.6%	18.4%	6.4%	12.1%
5040	Anorí	Antioquia	11599	2935	8664	Partido Liberal	2557	63	226	189	90	128	1655	8	12	53	39	11	2			6										75	Voto en Blanco 	24	0	0	0	2	0	0	22	Voto en Blanco 	36	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	13	0	0	1	0	1	1	1	0	0	0	0	0	15	2617	318	130	188	25.3%	74.7%	2.5%	8.8%	7.4%	3.5%	5.0%	64.7%	0.3%	0.5%	2.1%	1.5%	0.4%	0.1%	0.0%	0.0%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.9%	0.8%	0.0%	0.0%	0.0%	8.3%	0.0%	0.0%	91.7%	1.2%	0.0%	2.8%	2.8%	0.0%	0.0%	0.0%	0.0%	0.0%	2.8%	0.0%	0.0%	0.0%	2.8%	0.0%	0.0%	36.1%	0.0%	0.0%	2.8%	0.0%	2.8%	2.8%	2.8%	0.0%	0.0%	0.0%	0.0%	0.0%	41.7%	89.2%	10.8%	4.4%	6.4%
